[2025-10-15 17:25:18.363] [core] [trace] pk/시설/번호: 2
[2025-10-15 17:25:18.363] [core] [trace] pk/시설/번호: 3
[2025-10-15 17:25:18.363] [core] [trace] pk/시설/번호: 4
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 5
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 6
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 7
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 8
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 9
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 10
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 11
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 12
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 13
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 14
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 15
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 16
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 17
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 18
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 19
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 20
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 21
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 22
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 23
[2025-10-15 17:25:18.364] [core] [trace] pk/시설/번호: 24
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 25
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 26
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 27
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 28
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 29
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 30
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 31
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 32
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 33
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 34
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 35
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 36
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 37
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 38
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 39
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 40
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 41
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 42
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 43
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 44
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 45
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 46
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 47
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 48
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 49
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 50
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 51
[2025-10-15 17:25:18.365] [core] [trace] pk/시설/번호: 52
[2025-10-15 17:25:18.366] [core] [trace] pk/시설/번호: 53
[2025-10-15 17:25:18.366] [core] [trace] pk/시설/번호: 54
[2025-10-15 17:25:18.366] [core] [trace] pk/시설/번호: 55
[2025-10-15 17:25:18.366] [core] [trace] pk/시설/번호: 56
[2025-10-15 17:25:18.366] [core] [trace] pk/시설/번호: 57
[2025-10-15 17:25:18.366] [core] [trace] pk/시설/번호: 58
[2025-10-15 17:25:18.366] [core] [trace] pk/시설/번호: 59
[2025-10-15 17:25:18.366] [core] [trace] pk/시설/번호: 60
